"Período de tempo","Atividades","Distância total","Distância média","Distância máxima","Tempo total de atividade","Tempo em movimento","Tempo médio","Tempo máximo","Total de percursos","Tempo de escalada","Total de subida na rota","Máximo de subida na rota","Percursos tentados","Percursos concluídos","Concluídas sem quedas","Quedas","Calorias na atividade","Subida total","Média da subida","Subida máxima","Descida total","Média da descida","Descida máxima","Velocidade média","Velocidade máxima","Ritmo médio","Ritmo médio ajustado por inclinação","Melhor ritmo","Frequência cardíaca média","Frequência cardíaca máxima","Cadência média de corrida","Cadência de corrida máxima","Cadência média de bicicleta","Cadência de bicicleta máxima","Potência média","Energia máxima","Oscilação vertical","Tempo de contato com o solo","Comprimento média de passos","Média de estresse","Cadência média","Cadência máxima","Tempo total de descanso","Tempo total"
"03/06/2022","3","48.38 km","16.13 km","21.15 km","4:30:37 h:m:s","4:28:41 h:m:s","1:30:12 h:m:s","2:17:48 h:m:s","--","--","--","--","--","--","--","--","3,086","869 m","290 m","477 m","874 m","291 m","485 m","10.7 km/h","225.4 km/h","5:36 /km","--","0:16 /km","160 bpm","205 bpm","164 ppm","248 ppm","--","--","--","--","--","--","0.98 m","--","--","--","--","4:30:37 h:m:s"
"02/27/2022","3","38.02 km","12.67 km","18.01 km","3:42:35 h:m:s","3:42:04 h:m:s","1:14:12 h:m:s","1:37:11 h:m:s","--","--","--","--","--","--","--","--","2,923","499 m","166 m","296 m","512 m","171 m","303 m","10.2 km/h","234.7 km/h","5:51 /km","--","0:15 /km","164 bpm","187 bpm","167 ppm","176 ppm","--","--","--","--","--","--","1.01 m","--","--","--","--","3:42:35 h:m:s"
"02/20/2022","3","32.51 km","10.84 km","11.62 km","3:03:38 h:m:s","3:03:09 h:m:s","1:01:13 h:m:s","1:10:07 h:m:s","--","--","--","--","--","--","--","--","2,463","469 m","156 m","207 m","468 m","156 m","219 m","10.6 km/h","235.5 km/h","5:39 /km","--","0:15 /km","143 bpm","181 bpm","165 ppm","176 ppm","--","--","--","--","--","--","1.08 m","--","--","--","--","3:03:38 h:m:s"
"02/13/2022","4","38.15 km","9.54 km","12.61 km","5:26:18 h:m:s","4:15:30 h:m:s","1:21:35 h:m:s","1:45:24 h:m:s","--","--","--","--","--","--","--","--","2,291","619 m","155 m","233 m","623 m","156 m","239 m","7.0 km/h","231.5 km/h","8:33 /km","--","0:16 /km","127 bpm","180 bpm","149 ppm","238 ppm","--","--","--","--","--","--","0.75 m","--","--","--","--","5:26:18 h:m:s"
"02/06/2022","3","35.02 km","11.67 km","15.01 km","3:00:16 h:m:s","2:59:52 h:m:s","1:00:05 h:m:s","1:17:18 h:m:s","--","--","--","--","--","--","--","--","2,612","489 m","163 m","245 m","479 m","160 m","232 m","11.7 km/h","230.7 km/h","5:09 /km","--","0:16 /km","154 bpm","186 bpm","168 ppm","176 ppm","--","--","--","--","--","--","1.17 m","--","--","--","--","3:00:16 h:m:s"
"01/30/2022","4","70.71 km","17.68 km","35.66 km","7:58:50 h:m:s","7:43:37 h:m:s","1:59:42 h:m:s","3:55:22 h:m:s","--","--","--","--","--","--","--","--","4,292","1,515 m","379 m","997 m","1,520 m","380 m","998 m","8.9 km/h","222.7 km/h","6:46 /km","--","0:16 /km","99 bpm","171 bpm","147 ppm","248 ppm","--","--","--","--","--","--","0.91 m","--","--","--","--","7:58:50 h:m:s"
"01/23/2022","2","30.57 km","15.29 km","20.57 km","2:31:27 h:m:s","2:29:38 h:m:s","1:15:43 h:m:s","1:31:49 h:m:s","--","--","--","--","--","--","--","--","1,283","444 m","222 m","268 m","456 m","228 m","274 m","12.1 km/h","35.8 km/h","4:57 /km","--","1:41 /km","143 bpm","183 bpm","164 ppm","172 ppm","--","--","--","--","--","--","1.02 m","--","--","--","--","2:31:27 h:m:s"
"01/16/2022","4","58.43 km","14.61 km","21.01 km","5:38:48 h:m:s","5:34:52 h:m:s","1:24:42 h:m:s","2:32:34 h:m:s","--","--","--","--","--","--","--","--","3,879","1,083 m","271 m","603 m","1,088 m","272 m","600 m","10.3 km/h","235.4 km/h","5:48 /km","--","0:15 /km","152 bpm","208 bpm","161 ppm","212 ppm","--","--","--","--","--","--","1.04 m","--","--","--","--","5:38:48 h:m:s"
"01/09/2022","3","50.03 km","16.68 km","28.02 km","5:02:27 h:m:s","5:01:19 h:m:s","1:40:49 h:m:s","3:01:20 h:m:s","--","--","--","--","--","--","--","--","3,732","951 m","317 m","633 m","947 m","316 m","628 m","9.9 km/h","232.4 km/h","6:03 /km","--","0:15 /km","161 bpm","188 bpm","166 ppm","248 ppm","--","--","--","--","--","--","1.05 m","--","--","--","--","5:02:27 h:m:s"
"01/02/2022","3","38.52 km","12.84 km","16.00 km","3:37:20 h:m:s","3:36:43 h:m:s","1:12:27 h:m:s","1:26:34 h:m:s","--","--","--","--","--","--","--","--","2,984","590 m","197 m","234 m","576 m","192 m","234 m","10.6 km/h","16.6 km/h","5:39 /km","--","3:37 /km","159 bpm","197 bpm","165 ppm","174 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","3:37:20 h:m:s"
"12/26/2021","2","22.02 km","11.01 km","15.01 km","2:19:56 h:m:s","2:19:34 h:m:s","1:09:58 h:m:s","1:38:58 h:m:s","--","--","--","--","--","--","--","--","1,752","293 m","146 m","194 m","292 m","146 m","191 m","9.4 km/h","224.9 km/h","6:21 /km","--","0:16 /km","165 bpm","189 bpm","163 ppm","174 ppm","--","--","--","--","--","--","0.99 m","--","--","--","--","2:19:56 h:m:s"
"12/19/2021","3","31.51 km","10.50 km","11.50 km","3:13:19 h:m:s","3:12:23 h:m:s","1:04:26 h:m:s","1:10:20 h:m:s","--","--","--","--","--","--","--","--","2,919","418 m","139 m","158 m","409 m","136 m","147 m","9.8 km/h","235.5 km/h","6:08 /km","--","0:15 /km","174 bpm","191 bpm","164 ppm","176 ppm","--","--","--","--","--","--","0.99 m","--","--","--","--","3:13:19 h:m:s"
"12/05/2021","5","172.65 km","34.53 km","133.53 km","25:52:24 h:m:s","5:49:40 h:m:s","5:10:29 h:m:s","20:04:44 h:m:s","--","--","--","--","--","--","--","--","4,157","605 m","121 m","227 m","765 m","153 m","225 m","6.7 km/h","234.0 km/h","9:00 /km","--","0:15 /km","125 bpm","176 bpm","149 ppm","248 ppm","--","--","--","--","--","--","0.86 m","--","--","--","--","25:52:24 h:m:s"
"11/28/2021","3","41.34 km","13.78 km","25.01 km","3:57:57 h:m:s","3:57:20 h:m:s","1:19:19 h:m:s","2:19:35 h:m:s","--","--","--","--","--","--","--","--","2,552","673 m","224 m","426 m","672 m","224 m","424 m","10.4 km/h","214.7 km/h","5:45 /km","--","0:17 /km","133 bpm","165 bpm","165 ppm","176 ppm","--","--","--","--","--","--","1.03 m","--","--","--","--","3:57:57 h:m:s"
"11/21/2021","3","33.47 km","11.16 km","17.01 km","3:05:33 h:m:s","3:04:57 h:m:s","1:01:51 h:m:s","1:30:06 h:m:s","--","--","--","--","--","--","--","--","2,302","480 m","160 m","263 m","468 m","156 m","260 m","10.8 km/h","227.8 km/h","5:33 /km","--","0:16 /km","147 bpm","191 bpm","167 ppm","174 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","3:05:33 h:m:s"
