"Período de tempo","Atividades","Distância total","Distância média","Distância máxima","Tempo total de atividade","Tempo em movimento","Tempo médio","Tempo máximo","Total de percursos","Tempo de escalada","Total de subida na rota","Máximo de subida na rota","Percursos tentados","Percursos concluídos","Concluídas sem quedas","Quedas","Calorias na atividade","Subida total","Média da subida","Subida máxima","Descida total","Média da descida","Descida máxima","Velocidade média","Velocidade máxima","Ritmo médio","Ritmo médio ajustado por inclinação","Melhor ritmo","Frequência cardíaca média","Frequência cardíaca máxima","Cadência média de corrida","Cadência de corrida máxima","Cadência média de bicicleta","Cadência de bicicleta máxima","Potência média","Energia máxima","Oscilação vertical","Tempo de contato com o solo","Comprimento média de passos","Média de estresse","Cadência média","Cadência máxima","Tempo total de descanso","Tempo total"
"05/24/2020","2","20.12 km","10.06 km","10.11 km","1:52:18 h:m:s","1:52:00 h:m:s","56:09 h:m:s","57:15 h:m:s","--","--","--","--","--","--","--","--","1,547","253 m","127 m","134 m","253 m","127 m","134 m","10.7 km/h","19.8 km/h","5:35 /km","--","3:02 /km","162 bpm","188 bpm","163 ppm","172 ppm","--","--","--","--","--","--","1.10 m","--","--","--","--","1:52:18 h:m:s"
"05/17/2020","1","8.10 km","8.10 km","8.10 km","46:46 h:m:s","46:33 h:m:s","46:46 h:m:s","46:46 h:m:s","--","--","--","--","--","--","--","--","491","122 m","122 m","122 m","121 m","121 m","121 m","10.4 km/h","224.9 km/h","5:47 /km","--","0:16 /km","133 bpm","156 bpm","162 ppm","172 ppm","--","--","--","--","--","--","1.06 m","--","--","--","--","46:46 h:m:s"
"05/03/2020","2","30.01 km","15.01 km","15.01 km","2:44:34 h:m:s","2:44:24 h:m:s","1:22:17 h:m:s","1:25:19 h:m:s","--","--","--","--","--","--","--","--","1,923","457 m","228 m","238 m","447 m","223 m","227 m","10.9 km/h","233.3 km/h","5:29 /km","--","0:15 /km","145 bpm","174 bpm","166 ppm","174 ppm","--","--","--","--","--","--","1.10 m","--","--","--","--","2:44:34 h:m:s"
"04/26/2020","3","47.02 km","15.67 km","19.01 km","4:48:07 h:m:s","4:47:35 h:m:s","1:36:02 h:m:s","2:10:49 h:m:s","--","--","--","--","--","--","--","--","3,196","625 m","208 m","255 m","655 m","218 m","267 m","9.8 km/h","20.4 km/h","6:08 /km","--","2:57 /km","143 bpm","178 bpm","163 ppm","174 ppm","--","--","--","--","--","--","1.02 m","--","--","--","--","4:48:07 h:m:s"
"04/19/2020","3","36.08 km","12.03 km","16.00 km","3:29:40 h:m:s","3:29:15 h:m:s","1:09:53 h:m:s","1:30:16 h:m:s","--","--","--","--","--","--","--","--","2,225","651 m","217 m","366 m","639 m","213 m","366 m","10.3 km/h","33.5 km/h","5:49 /km","--","1:47 /km","134 bpm","168 bpm","165 ppm","176 ppm","--","--","--","--","--","--","1.03 m","--","--","--","--","3:29:40 h:m:s"
"04/12/2020","2","25.01 km","12.50 km","15.00 km","2:18:15 h:m:s","2:18:00 h:m:s","1:09:08 h:m:s","1:19:51 h:m:s","--","--","--","--","--","--","--","--","1,791","304 m","152 m","214 m","313 m","157 m","212 m","10.9 km/h","90.8 km/h","5:32 /km","--","0:40 /km","148 bpm","161 bpm","168 ppm","178 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","2:18:15 h:m:s"
"04/05/2020","2","25.71 km","12.85 km","15.50 km","2:23:58 h:m:s","2:23:24 h:m:s","1:11:59 h:m:s","1:25:39 h:m:s","--","--","--","--","--","--","--","--","1,804","319 m","159 m","195 m","350 m","175 m","217 m","10.7 km/h","229.7 km/h","5:36 /km","--","0:16 /km","146 bpm","169 bpm","166 ppm","176 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","2:23:58 h:m:s"
"03/29/2020","2","2.95 km","1.48 km","2.16 km","1:30:37 h:m:s","22:19 h:m:s","45:19 h:m:s","52:50 h:m:s","--","--","--","--","--","--","--","--","456","--","--","--","--","--","--","2.0 km/h","25.5 km/h","30:42 /km","--","2:21 /km","99 bpm","166 bpm","124 ppm","246 ppm","--","--","--","--","--","--","0.24 m","--","--","--","--","1:30:37 h:m:s"
"03/22/2020","3","7.02 km","2.34 km","3.01 km","1:00:28 h:m:s","1:00:17 h:m:s","20:09 h:m:s","24:41 h:m:s","--","--","--","--","--","--","--","--","750","9 m","3 m","4 m","9 m","3 m","5 m","7.0 km/h","221.6 km/h","8:37 /km","--","0:16 /km","141 bpm","165 bpm","165 ppm","176 ppm","--","--","--","--","--","--","0.70 m","--","--","--","--","1:00:28 h:m:s"
"03/15/2020","2","43.02 km","21.51 km","28.01 km","3:36:53 h:m:s","3:36:25 h:m:s","1:48:27 h:m:s","2:33:42 h:m:s","--","--","--","--","--","--","--","--","2,667","560 m","280 m","398 m","560 m","280 m","392 m","11.9 km/h","231.2 km/h","5:03 /km","--","0:16 /km","147 bpm","203 bpm","171 ppm","238 ppm","--","--","--","--","--","--","1.23 m","--","--","--","--","3:36:53 h:m:s"
"03/08/2020","5","51.05 km","10.21 km","21.03 km","4:27:30 h:m:s","4:26:41 h:m:s","53:30 h:m:s","1:51:57 h:m:s","--","--","--","--","--","--","--","--","3,024","779 m","156 m","295 m","761 m","152 m","288 m","11.5 km/h","233.0 km/h","5:14 /km","--","0:15 /km","131 bpm","169 bpm","168 ppm","176 ppm","--","--","--","--","--","--","1.15 m","--","--","--","--","4:27:30 h:m:s"
"03/01/2020","3","36.28 km","12.09 km","16.20 km","3:17:42 h:m:s","3:17:08 h:m:s","1:05:54 h:m:s","1:28:54 h:m:s","--","--","--","--","--","--","--","--","2,319","539 m","180 m","231 m","542 m","181 m","229 m","11.0 km/h","233.2 km/h","5:27 /km","--","0:15 /km","141 bpm","178 bpm","166 ppm","178 ppm","--","--","--","--","--","--","1.11 m","--","--","--","--","3:17:42 h:m:s"
"02/23/2020","4","21.05 km","5.26 km","10.01 km","2:17:22 h:m:s","2:12:30 h:m:s","34:21 h:m:s","55:36 h:m:s","--","--","--","--","--","--","--","--","1,614","164 m","41 m","75 m","163 m","41 m","75 m","9.2 km/h","154.9 km/h","6:32 /km","--","0:23 /km","142 bpm","188 bpm","168 ppm","198 ppm","--","--","--","--","--","--","0.92 m","--","--","--","--","2:17:22 h:m:s"
"02/16/2020","3","50.11 km","16.70 km","30.00 km","4:44:52 h:m:s","4:44:15 h:m:s","1:34:57 h:m:s","2:52:47 h:m:s","--","--","--","--","--","--","--","--","3,159","630 m","210 m","414 m","628 m","209 m","413 m","10.6 km/h","235.2 km/h","5:41 /km","--","0:15 /km","147 bpm","193 bpm","165 ppm","176 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","4:44:52 h:m:s"
"02/09/2020","4","55.32 km","13.83 km","28.01 km","5:07:46 h:m:s","5:06:59 h:m:s","1:16:56 h:m:s","2:50:22 h:m:s","--","--","--","--","--","--","--","--","3,652","806 m","202 m","473 m","805 m","201 m","465 m","10.8 km/h","228.5 km/h","5:34 /km","--","0:16 /km","147 bpm","176 bpm","165 ppm","182 ppm","--","--","--","--","--","--","1.15 m","--","--","--","--","5:07:46 h:m:s"
"02/02/2020","11","44.39 km","4.04 km","25.01 km","4:11:58 h:m:s","4:07:46 h:m:s","22:54 h:m:s","2:18:13 h:m:s","--","--","--","--","--","--","--","--","2,688","786 m","79 m","349 m","572 m","143 m","340 m","10.6 km/h","232.4 km/h","5:41 /km","--","0:15 /km","133 bpm","177 bpm","167 ppm","180 ppm","--","--","--","--","--","--","1.03 m","--","--","--","--","4:11:58 h:m:s"
"01/26/2020","5","49.82 km","9.96 km","20.00 km","4:23:29 h:m:s","4:22:46 h:m:s","52:42 h:m:s","1:51:16 h:m:s","--","--","--","--","--","--","--","--","3,135","723 m","145 m","355 m","728 m","146 m","355 m","11.3 km/h","217.4 km/h","5:17 /km","--","0:17 /km","133 bpm","165 bpm","169 ppm","180 ppm","--","--","--","--","--","--","1.17 m","--","--","--","--","4:23:29 h:m:s"
"01/19/2020","24","40.86 km","1.70 km","19.01 km","3:29:52 h:m:s","3:28:23 h:m:s","8:44.7 h:m:s","1:40:30 h:m:s","--","--","--","--","--","--","--","--","2,572","635 m","30 m","303 m","530 m","48 m","302 m","11.7 km/h","233.8 km/h","5:08 /km","--","0:15 /km","119 bpm","173 bpm","172 ppm","190 ppm","--","--","--","--","--","--","1.30 m","--","--","--","--","3:29:52 h:m:s"
"01/12/2020","12","30.80 km","2.57 km","13.01 km","2:45:44 h:m:s","2:44:49 h:m:s","13:49 h:m:s","1:18:30 h:m:s","--","--","--","--","--","--","--","--","1,983","370 m","41 m","177 m","363 m","61 m","172 m","11.2 km/h","233.4 km/h","5:23 /km","--","0:15 /km","134 bpm","174 bpm","172 ppm","178 ppm","--","--","--","--","--","--","1.32 m","--","--","--","--","2:45:44 h:m:s"
"01/05/2020","1","8.19 km","8.19 km","8.19 km","47:42 h:m:s","47:28 h:m:s","47:42 h:m:s","47:42 h:m:s","--","--","--","--","--","--","--","--","517","87 m","87 m","87 m","63 m","63 m","63 m","10.3 km/h","232.6 km/h","5:49 /km","--","0:15 /km","132 bpm","157 bpm","164 ppm","172 ppm","--","--","--","--","--","--","1.05 m","--","--","--","--","47:42 h:m:s"
"12/29/2019","3","38.68 km","12.89 km","19.31 km","3:34:22 h:m:s","3:33:45 h:m:s","1:11:27 h:m:s","1:41:16 h:m:s","--","--","--","--","--","--","--","--","2,687","551 m","184 m","272 m","544 m","181 m","272 m","10.8 km/h","227.1 km/h","5:33 /km","--","0:16 /km","142 bpm","181 bpm","166 ppm","176 ppm","--","--","--","--","--","--","1.08 m","--","--","--","--","3:34:22 h:m:s"
"12/22/2019","4","47.91 km","11.98 km","21.51 km","4:22:17 h:m:s","4:21:49 h:m:s","1:05:34 h:m:s","1:57:46 h:m:s","--","--","--","--","--","--","--","--","3,367","632 m","158 m","290 m","620 m","155 m","278 m","11.0 km/h","21.5 km/h","5:28 /km","--","2:48 /km","147 bpm","180 bpm","164 ppm","174 ppm","--","--","--","--","--","--","1.10 m","--","--","--","--","4:22:17 h:m:s"
"12/15/2019","2","12.02 km","6.01 km","6.01 km","1:03:29 h:m:s","1:03:08 h:m:s","31:44 h:m:s","34:50 h:m:s","--","--","--","--","--","--","--","--","743","57 m","57 m","57 m","61 m","61 m","61 m","11.4 km/h","28.2 km/h","5:17 /km","--","2:08 /km","136 bpm","169 bpm","166 ppm","174 ppm","--","--","--","--","--","--","1.15 m","--","--","--","--","1:03:29 h:m:s"
"12/08/2019","4","34.95 km","8.74 km","16.21 km","3:34:29 h:m:s","3:33:52 h:m:s","53:37 h:m:s","1:34:48 h:m:s","--","--","--","--","--","--","--","--","2,098","456 m","114 m","202 m","461 m","115 m","206 m","9.8 km/h","231.9 km/h","6:08 /km","--","0:16 /km","126 bpm","160 bpm","161 ppm","176 ppm","--","--","--","--","--","--","0.97 m","--","--","--","--","3:34:29 h:m:s"
"12/01/2019","2","33.00 km","16.50 km","23.00 km","3:04:05 h:m:s","3:03:49 h:m:s","1:32:02 h:m:s","2:12:34 h:m:s","--","--","--","--","--","--","--","--","2,362","506 m","253 m","349 m","507 m","254 m","349 m","10.8 km/h","233.0 km/h","5:35 /km","--","0:15 /km","153 bpm","196 bpm","165 ppm","174 ppm","--","--","--","--","--","--","1.12 m","--","--","--","--","3:04:05 h:m:s"
"11/24/2019","3","24.09 km","8.03 km","11.01 km","2:25:51 h:m:s","2:24:50 h:m:s","48:37 h:m:s","1:04:21 h:m:s","--","--","--","--","--","--","--","--","1,542","309 m","103 m","151 m","304 m","101 m","146 m","9.9 km/h","24.3 km/h","6:03 /km","--","2:28 /km","128 bpm","168 bpm","159 ppm","182 ppm","--","--","--","--","--","--","1.01 m","--","--","--","--","2:25:51 h:m:s"
"11/17/2019","3","23.02 km","7.67 km","10.01 km","2:02:14 h:m:s","2:01:50 h:m:s","40:45 h:m:s","57:35 h:m:s","--","--","--","--","--","--","--","--","1,282","262 m","87 m","123 m","259 m","86 m","123 m","11.3 km/h","229.6 km/h","5:19 /km","--","0:16 /km","128 bpm","164 bpm","165 ppm","178 ppm","--","--","--","--","--","--","1.10 m","--","--","--","--","2:02:14 h:m:s"
"11/10/2019","3","43.78 km","14.59 km","23.77 km","4:17:31 h:m:s","4:16:58 h:m:s","1:25:50 h:m:s","2:15:56 h:m:s","--","--","--","--","--","--","--","--","2,998","602 m","201 m","336 m","600 m","200 m","334 m","10.2 km/h","229.1 km/h","5:53 /km","--","0:16 /km","142 bpm","173 bpm","154 ppm","186 ppm","--","--","--","--","--","--","1.11 m","--","--","--","--","4:17:31 h:m:s"
"11/03/2019","10","35.90 km","3.59 km","13.01 km","3:25:05 h:m:s","3:23:37 h:m:s","20:31 h:m:s","1:19:24 h:m:s","--","--","--","--","--","--","--","--","2,288","446 m","64 m","172 m","460 m","66 m","178 m","10.5 km/h","234.5 km/h","5:43 /km","--","0:15 /km","115 bpm","178 bpm","169 ppm","178 ppm","--","--","--","--","--","--","1.16 m","--","--","--","--","3:25:05 h:m:s"
"10/27/2019","15","38.66 km","2.58 km","13.51 km","3:30:47 h:m:s","3:30:01 h:m:s","14:03 h:m:s","1:13:27 h:m:s","--","--","--","--","--","--","--","--","2,696","577 m","115 m","214 m","594 m","99 m","219 m","11.0 km/h","224.6 km/h","5:27 /km","--","0:16 /km","105 bpm","179 bpm","177 ppm","194 ppm","--","--","--","--","--","--","1.28 m","--","--","--","--","3:30:47 h:m:s"
"10/20/2019","9","35.89 km","3.99 km","12.26 km","3:19:36 h:m:s","3:19:03 h:m:s","22:11 h:m:s","1:11:26 h:m:s","--","--","--","--","--","--","--","--","2,306","484 m","60 m","183 m","492 m","61 m","181 m","10.8 km/h","228.4 km/h","5:34 /km","--","0:16 /km","119 bpm","164 bpm","167 ppm","190 ppm","--","--","--","--","--","--","1.18 m","--","--","--","--","3:19:36 h:m:s"
"10/13/2019","2","28.22 km","14.11 km","21.21 km","2:31:25 h:m:s","2:31:02 h:m:s","1:15:43 h:m:s","1:52:41 h:m:s","--","--","--","--","--","--","--","--","2,041","516 m","258 m","428 m","538 m","269 m","449 m","11.2 km/h","229.3 km/h","5:22 /km","--","0:16 /km","147 bpm","185 bpm","164 ppm","178 ppm","--","--","--","--","--","--","1.13 m","--","--","--","--","2:31:25 h:m:s"
"10/06/2019","3","31.78 km","10.59 km","20.01 km","3:01:31 h:m:s","3:00:38 h:m:s","1:00:30 h:m:s","1:53:47 h:m:s","--","--","--","--","--","--","--","--","1,984","425 m","142 m","269 m","429 m","143 m","275 m","10.5 km/h","231.0 km/h","5:43 /km","--","0:16 /km","126 bpm","157 bpm","164 ppm","184 ppm","--","--","--","--","--","--","1.05 m","--","--","--","--","3:01:31 h:m:s"
"09/29/2019","1","10.30 km","10.30 km","10.30 km","58:55 h:m:s","58:41 h:m:s","58:55 h:m:s","58:55 h:m:s","--","--","--","--","--","--","--","--","606","147 m","147 m","147 m","144 m","144 m","144 m","10.5 km/h","16.7 km/h","5:43 /km","--","3:36 /km","132 bpm","157 bpm","162 ppm","172 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","58:55 h:m:s"
"09/22/2019","16","52.63 km","3.29 km","20.02 km","4:54:44 h:m:s","4:53:27 h:m:s","18:25 h:m:s","1:43:49 h:m:s","--","--","--","--","--","--","--","--","3,600","774 m","64 m","268 m","868 m","72 m","273 m","10.7 km/h","217.2 km/h","5:36 /km","--","0:17 /km","135 bpm","182 bpm","171 ppm","246 ppm","--","--","--","--","--","--","1.29 m","--","--","--","--","4:54:44 h:m:s"
"09/15/2019","1","15.02 km","15.02 km","15.02 km","1:31:32 h:m:s","1:31:23 h:m:s","1:31:32 h:m:s","1:31:32 h:m:s","--","--","--","--","--","--","--","--","917","213 m","213 m","213 m","217 m","217 m","217 m","9.8 km/h","12.3 km/h","6:06 /km","--","4:52 /km","134 bpm","160 bpm","162 ppm","172 ppm","--","--","--","--","--","--","1.02 m","--","--","--","--","1:31:32 h:m:s"
"09/08/2019","3","30.03 km","10.01 km","10.02 km","2:42:32 h:m:s","2:41:53 h:m:s","54:11 h:m:s","59:07 h:m:s","--","--","--","--","--","--","--","--","1,705","369 m","123 m","141 m","373 m","124 m","140 m","11.1 km/h","230.7 km/h","5:25 /km","--","0:16 /km","134 bpm","168 bpm","163 ppm","172 ppm","--","--","--","--","--","--","1.14 m","--","--","--","--","2:42:32 h:m:s"
"09/01/2019","1","14.00 km","14.00 km","14.00 km","1:23:49 h:m:s","1:23:43 h:m:s","1:23:49 h:m:s","1:23:49 h:m:s","--","--","--","--","--","--","--","--","1,025","220 m","220 m","220 m","227 m","227 m","227 m","10.0 km/h","16.1 km/h","5:59 /km","--","3:44 /km","152 bpm","158 bpm","164 ppm","172 ppm","--","--","--","--","--","--","1.03 m","--","--","--","--","1:23:49 h:m:s"
"08/25/2019","3","65.13 km","21.71 km","44.68 km","7:05:04 h:m:s","7:04:11 h:m:s","2:21:41 h:m:s","5:02:57 h:m:s","--","--","--","--","--","--","--","--","4,509","3,755 m","1,252 m","3,511 m","2,489 m","830 m","2,247 m","9.2 km/h","234.3 km/h","6:32 /km","--","0:15 /km","150 bpm","198 bpm","161 ppm","210 ppm","--","--","--","--","--","--","1.00 m","--","--","--","--","7:05:04 h:m:s"
"08/18/2019","2","45.01 km","22.50 km","35.01 km","4:15:09 h:m:s","4:14:39 h:m:s","2:07:35 h:m:s","3:17:18 h:m:s","--","--","--","--","--","--","--","--","3,141","669 m","334 m","522 m","660 m","330 m","517 m","10.6 km/h","202.0 km/h","5:40 /km","--","0:18 /km","152 bpm","185 bpm","162 ppm","172 ppm","--","--","--","--","--","--","1.08 m","--","--","--","--","4:15:09 h:m:s"
"08/11/2019","1","18.00 km","18.00 km","18.00 km","1:46:34 h:m:s","1:46:20 h:m:s","1:46:34 h:m:s","1:46:34 h:m:s","--","--","--","--","--","--","--","--","1,061","257 m","257 m","257 m","269 m","269 m","269 m","10.1 km/h","34.0 km/h","5:55 /km","--","1:46 /km","141 bpm","178 bpm","160 ppm","170 ppm","--","--","--","--","--","--","1.05 m","--","--","--","--","1:46:34 h:m:s"
"08/04/2019","1","7.44 km","7.44 km","7.44 km","45:08 h:m:s","45:01 h:m:s","45:08 h:m:s","45:08 h:m:s","--","--","--","--","--","--","--","--","686","101 m","101 m","101 m","105 m","105 m","105 m","9.9 km/h","42.1 km/h","6:04 /km","--","1:25 /km","166 bpm","190 bpm","164 ppm","178 ppm","--","--","--","--","--","--","1.00 m","--","--","--","--","45:08 h:m:s"
"07/28/2019","12","51.03 km","4.25 km","31.27 km","4:53:05 h:m:s","4:52:04 h:m:s","24:25 h:m:s","2:57:06 h:m:s","--","--","--","--","--","--","--","--","3,432","978 m","140 m","517 m","1,078 m","154 m","515 m","10.4 km/h","225.7 km/h","5:45 /km","--","0:16 /km","176 bpm","192 bpm","162 ppm","174 ppm","--","--","--","--","--","--","1.04 m","--","--","--","--","4:53:05 h:m:s"
"07/21/2019","2","20.67 km","10.34 km","15.66 km","1:57:07 h:m:s","1:56:51 h:m:s","58:33 h:m:s","1:26:33 h:m:s","--","--","--","--","--","--","--","--","1,263","375 m","188 m","229 m","416 m","208 m","269 m","10.6 km/h","235.0 km/h","5:40 /km","--","0:15 /km","141 bpm","173 bpm","160 ppm","172 ppm","--","--","--","--","--","--","1.07 m","--","--","--","--","1:57:07 h:m:s"
"07/14/2019","4","75.20 km","18.80 km","35.00 km","7:07:44 h:m:s","7:06:22 h:m:s","1:46:56 h:m:s","3:22:16 h:m:s","--","--","--","--","--","--","--","--","3,915","1,795 m","449 m","1,014 m","1,453 m","363 m","669 m","10.5 km/h","217.8 km/h","5:41 /km","--","0:17 /km","135 bpm","174 bpm","163 ppm","192 ppm","--","--","--","--","--","--","1.10 m","--","--","--","--","7:07:44 h:m:s"
"07/07/2019","12","37.17 km","3.10 km","17.01 km","3:36:16 h:m:s","3:35:02 h:m:s","18:01 h:m:s","1:42:15 h:m:s","--","--","--","--","--","--","--","--","2,851","694 m","58 m","245 m","466 m","155 m","247 m","10.3 km/h","230.0 km/h","5:49 /km","--","0:16 /km","138 bpm","189 bpm","166 ppm","174 ppm","--","--","--","--","--","--","1.10 m","--","--","--","--","3:36:16 h:m:s"
"06/30/2019","5","60.65 km","12.13 km","30.01 km","5:35:24 h:m:s","5:33:44 h:m:s","1:07:05 h:m:s","2:45:54 h:m:s","--","--","--","--","--","--","--","--","4,053","889 m","178 m","440 m","944 m","189 m","498 m","10.8 km/h","232.2 km/h","5:32 /km","--","0:16 /km","146 bpm","173 bpm","165 ppm","174 ppm","--","--","--","--","--","--","1.11 m","--","--","--","--","5:35:24 h:m:s"
"06/23/2019","13","51.23 km","3.94 km","25.00 km","4:30:04 h:m:s","4:27:54 h:m:s","20:46 h:m:s","2:18:08 h:m:s","--","--","--","--","--","--","--","--","3,099","704 m","59 m","367 m","752 m","63 m","366 m","11.4 km/h","230.2 km/h","5:16 /km","--","0:16 /km","146 bpm","171 bpm","170 ppm","180 ppm","--","--","--","--","--","--","1.23 m","--","--","--","--","4:30:04 h:m:s"
"06/16/2019","3","42.48 km","14.16 km","16.86 km","4:50:26 h:m:s","4:45:25 h:m:s","1:36:49 h:m:s","1:57:11 h:m:s","--","--","--","--","--","--","--","--","2,753","1,083 m","361 m","447 m","1,078 m","359 m","444 m","8.8 km/h","213.8 km/h","6:50 /km","--","0:17 /km","138 bpm","183 bpm","159 ppm","248 ppm","--","--","--","--","--","--","0.95 m","--","--","--","--","4:50:26 h:m:s"
"06/09/2019","3","32.40 km","10.80 km","12.00 km","3:08:31 h:m:s","3:07:38 h:m:s","1:02:50 h:m:s","1:09:11 h:m:s","--","--","--","--","--","--","--","--","1,927","467 m","156 m","185 m","477 m","159 m","182 m","10.3 km/h","234.8 km/h","5:49 /km","--","0:15 /km","138 bpm","188 bpm","165 ppm","176 ppm","--","--","--","--","--","--","1.04 m","--","--","--","--","3:08:31 h:m:s"
"06/02/2019","2","16.26 km","8.13 km","11.01 km","1:32:27 h:m:s","1:31:59 h:m:s","46:14 h:m:s","1:02:57 h:m:s","--","--","--","--","--","--","--","--","1,194","215 m","107 m","145 m","226 m","113 m","160 m","10.6 km/h","232.9 km/h","5:41 /km","--","0:15 /km","155 bpm","194 bpm","168 ppm","180 ppm","--","--","--","--","--","--","1.05 m","--","--","--","--","1:32:27 h:m:s"
"05/26/2019","3","9.04 km","3.01 km","5.00 km","53:47 h:m:s","53:16 h:m:s","17:56 h:m:s","28:26 h:m:s","--","--","--","--","--","--","--","--","539","17 m","17 m","17 m","34 m","34 m","34 m","10.1 km/h","211.2 km/h","5:57 /km","--","0:17 /km","126 bpm","154 bpm","162 ppm","176 ppm","--","--","--","--","--","--","1.02 m","--","--","--","--","53:47 h:m:s"
"05/19/2019","4","31.66 km","7.91 km","19.65 km","3:34:48 h:m:s","2:59:14 h:m:s","53:42 h:m:s","1:47:36 h:m:s","--","--","--","--","--","--","--","--","2,432","471 m","118 m","286 m","448 m","112 m","264 m","8.8 km/h","232.3 km/h","6:47 /km","--","0:16 /km","127 bpm","188 bpm","165 ppm","178 ppm","--","--","--","--","--","--","1.06 m","--","--","--","--","3:34:48 h:m:s"
"05/12/2019","12","18.04 km","1.50 km","10.05 km","1:32:37 h:m:s","1:31:07 h:m:s","7:43.1 h:m:s","51:32 h:m:s","--","--","--","--","--","--","--","--","1,145","446 m","41 m","144 m","168 m","84 m","142 m","11.7 km/h","233.7 km/h","5:08 /km","--","0:15 /km","141 bpm","176 bpm","169 ppm","174 ppm","--","--","--","--","--","--","1.15 m","--","--","--","--","1:32:37 h:m:s"
"05/05/2019","2","14.80 km","7.40 km","10.00 km","1:18:47 h:m:s","1:18:17 h:m:s","39:24 h:m:s","50:42 h:m:s","--","--","--","--","--","--","--","--","953","202 m","101 m","140 m","202 m","101 m","142 m","11.3 km/h","234.7 km/h","5:19 /km","--","0:15 /km","140 bpm","172 bpm","167 ppm","174 ppm","--","--","--","--","--","--","1.10 m","--","--","--","--","1:18:47 h:m:s"
"04/28/2019","5","29.84 km","5.97 km","18.00 km","2:57:33 h:m:s","2:47:25 h:m:s","35:31 h:m:s","1:53:47 h:m:s","--","--","--","--","--","--","--","--","1,905","425 m","85 m","244 m","376 m","188 m","251 m","10.1 km/h","233.4 km/h","5:57 /km","--","0:15 /km","140 bpm","177 bpm","168 ppm","178 ppm","--","--","--","--","--","--","1.19 m","--","--","--","--","2:57:33 h:m:s"
